1,排気ガスを検査します,Start to check the exhaust.,检查汽车尾气,檢查汽車廢氣,배기가스를 검사하겠습니다.,Os gases de escape serão inspecionados.
2,停止してください,Stop.,请停止,請停止,정지해 주십시오.,Pare.
3,エンジンを始動してください,Please ignition on the engine.,请發动引擎,請發動引擎,엔진을 시동해 주십시오.,Ligue o motor.
4,ギアをニュートラルにしてください,Shift the gear into neutral position.,请将变速器操纵杆调成空挡,請將變速桿調成空擋,기어를 중립에 넣어 주십시오.,Coloque o câmbio em N.
5,バイクから降りてください,Please get off the motorcycle.,请从摩托车下来,請從摩托車下來,오토바이에서 내려 주십시오.,Desça da motocicleta.
6,スタンドを立ててください,Please put the motorcycle on the stand.,请架好停车支架,請架好停車支架,오토바이 스탠드를 세워 주십시오.,Coloque a motocicleta no cavalete.
7,検査官の指示するボタンを押してください,Press the button specified by the Inspector.,请按下检验官指示的按钮,請按下檢驗官指示的按鈕,검사관이 지시하는 버튼을 눌러 주십시오.,Pressione os botões indicados pelo inspetor.
8,プローブをマフラーに挿してください,Please insert the probe into the exhaust pipe.,请将传感器插入消音器,請將傳感器插入消音器,프로브를 머플러에 꽂아 주십시오.,Insira a sonda no silenciador.
9,フットスイッチに乗ってください,Please get on the footswitch.,请上垫子开关,請上墊子開關,풋 스위치에 올라서 주십시오.,Suba no acionador.
10,そのまま待機してください,Please wait.,请在此稍候,請在此稍候一下,그대로 대기해 주십시오.,Aguarde um momento.
11,排気ガスの検査は終了です,The exhaust check is complete.,车尾气检查结束,汽車廢氣檢查結束,배기가스 검사가 종료되었습니다.,A inspeção dos gases de escape foi concluída.
12,プローブを抜いてください,Please pull out the probe.,请取下传感器,請取下傳感器,프로브를 빼 주십시오.,Remova a sonda.
13,記録してください,Record the result.,请记录,請記錄,기록해 주십시오.,Faça o registro.
14,バイクに乗ってください,Please get on the motorcycle.,请上摩托车,請上摩托車,오토바이에 타 주십시오.,Suba na motocicleta.
1,ブレーキを検査します,Start to check the brakes.,检查煞车器,檢查煞車器,브레이크를 검사하겠습니다.,Os freios serão inspecionados.
2,ゆっくり前進して前輪をテスタに乗せてください,"Slowly go forward, and place the front wheel on the tester.",请慢慢前进并让前轮上到检测仪,請慢慢前進並讓前輪上到試驗器,천천히 전진하여 앞바퀴를 테스터 위에 올려 주십시오.,Siga em frente lentamente e coloque a roda dianteira sobre o testador.
3,ギアをニュートラルにしてください,Please shift the gear into neutral position.,请将变速器操纵杆调成空挡,請將變速桿調成空擋,기어를 중립에 넣어 주십시오.,Coloque o câmbio em N.
4,フットスイッチを踏んでください,Press the footswitch.,请踩脚踏板开关,請踩腳踏板開關,풋 스위치를 밟아 주십시오.,Pise no pedal de acionamento.
5,ブレーキを離してください,Release the brakes.,请放开煞车器,請放開煞車器,브레이크를 떼어 주십시오.,Tire as mãos do freio.
6,前後輪のブレーキをかけてください,Apply the front and rear wheel brakes.,请拉前后轮的煞车器,請拉前後輪的煞車器,앞바퀴 및 뒷바퀴의 브레이크를 걸어 주십시오.,Freie ambas as rodas dianteira e traseira.
7,もう一度検査をします,Check the foot brake again.,再检查一次,再檢查一次,한 번 더 검사를 하겠습니다. ,A inspeção será realizada novamente.
8,ゆっくり前進して後輪をテスタに乗せてください,"Slowly go forward, and place the rear wheel on the tester.",请慢慢前进并让后轮上到检测仪,請慢慢前進並讓後輪上到試驗器,천천히 전진하여 뒷바퀴를 테스터 위에 올려 주십시오.,Siga em frente lentamente e coloque a roda traseira sobre o testador.
9,ブレーキの検査は終了です,The brake check is complete.,煞车器的检查结束,煞車器的檢查結束,브레이크 검사가 종료되었습니다.,A inspeção dos freios foi concluída.
10,前進して記録してください,Please go forward and record the results.,请前进并记录,請前進並記錄,전진하여 기록해 주십시오.,Siga em frente e faça o registro.
1,スピードメータを検査します,Start to check the speedometer.,检查速度表,檢查速度計,스피드 미터를 검사하겠습니다.,O velocímetro será inspecionado.
2,ゆっくり前進して前輪をテスタに乗せてください,"Slowly go forward, and place the front wheel on the tester.",请慢慢前进并让前轮上到检测仪,請慢慢前進並讓前輪上到試驗器,천천히 전진하여 앞바퀴를 테스터 위에 올려 주십시오.,Siga em frente lentamente e coloque a roda dianteira sobre o testador.
3,ゆっくり前進して後輪をテスタに乗せてください,"Slowly go forward, and place the rear wheel on the tester.",请慢慢前进并让后轮上到检测仪,請慢慢前進並讓後輪上到試驗器,천천히 전진하여 뒷바퀴를 테스터 위에 올려 주십시오.,Siga em frente lentamente e coloque a roda traseira sobre o testador.
4,ギアをニュートラルにしてください,Shift the gear into drive position.,请将变速器操纵杆调成空挡,請將變速桿調成空擋,기어를 중립에 넣어 주십시오.,Coloque o câmbio em N.
5,フットスイッチを踏んでください,Press the footswitch.,请踩脚踏板开关,請踩腳踏板開關,풋 스위치를 밟아 주십시오.,Pise no pedal de acionamento.
6,スピードメーターが40km/hを指した時にフットスイッチを離してください,"When the speedometer indicates 40km/h, release the footswitch.",请在速度表指到40km/h时放开脚踏板开关,請在速度計指到40km/h時放開腳踏板開關,스피드 미터가 40km/h를 가리켰을 때 풋 스위치를 떼어 주십시오.,Tire o pé do pedal de acionamento quando o velocímetro atingir 40km/h.
7,もう一度検査をします,Check the speedometer again.,再检查一次,再檢查一次,한 번 더 검사를 하겠습니다. ,A inspeção será realizada novamente.
8,スピードメータの検査は終了です,The speedometer check is complete.,速度表检查结束,速度計檢查結束,스피드 미터 검사가 종료되었습니다.,A inspeção do velocímetro foi concluída.
9,前進して記録してください,Please go forward and record the results.,请前进并记录,請前進並記錄,전진하여 기록해 주십시오.,Siga em frente e faça o registro.
1,ヘッドライトの検査をします,Start to check the headlights.,检查汽车大灯,檢查頭燈,헤드라이트를 검사하겠습니다.,Os faróis serão inspecionados.
2,ゆっくり前進してください,Please go forward slowly.,请慢慢前进,請慢慢前進,천천히 전진해 주십시오.,Siga em frente lentamente.
3,停止してください,Stop.,请停止,請停止,정지해 주십시오.,Pare.
4,ギアをニュートラルにしてください,Shift the gear into drive position.,请将变速器操纵杆调成空挡,請將變速桿調成空擋,기어를 중립에 넣어 주십시오.,Coloque o câmbio em N.
5,ライトを上向きに点灯してください,Turn on the high beams.,请打车灯的远光灯,請打車燈的遠光燈,라이트를 상향으로 점등해 주십시오.,Acenda a luz alta.
6,ライトを下向きに点灯してください,Turn on the low beams.,请打车灯的近光灯,請打車燈的近光燈,라이트를 하향으로 점등해 주십시오.,Acenda a luz baixa.
7,フットスイッチを踏んでください,Press the footswitch.,请踩脚踏板开关,請踩腳踏板開關,풋 스위치를 밟아 주십시오.,Pise no pedal de acionamento.
8,検査中です、そのままお待ちください,"Test is now in progress, please wait.",检查中，请在此稍候,檢查中，請在此稍等一下,"검사중입니다, 그대로 잠시만 기다려 주십시오.",A inspeção está sendo realizada. Aguarde um momento.
9,ヘッドライトの検査は終了です,The headlights check is complete.,汽车大灯的检查结束,頭燈的檢查結束,헤드라이트 검사가 종료되었습니다.,A inspeção dos faróis foi concluída.
10,前進して記録してください,Please go forward and record the results.,请前进并记录,請前進並記錄,전진하여 기록해 주십시오.,Siga em frente e faça o registro.
1,申請書類を確認します,Please show your application form to the inspector.,确认申请文件,確認申請文件,신청서류를 확인합니다. ,Os documentos de solicitação serão verificados.
2,総合判定室まで進んでください,Please go forward to the Overall Judgment Room.,请到综合评定室,請到綜合評定室,종합판정실까지 나아가 주십시오.,Siga para a sala de espera dos resultados gerais.
3,この車はこのコースで検査はできません,This vehicle cannot be checked on this course.,这辆车不能在这个车道检查,這輛車不能在這個車道檢查,이 코스에서는 검사할 수 없는 차량입니다.,Este carro não pode ser inspecionado nesta pista.
4,検査官が指示するコースにお並びください,Line up on the course specified by the Inspector.,请排到检验官指示的车道,請排到檢驗官指示的車道,검사관이 지시하는 코스에 서 주십시오.,Entre na fila da pista indicada pelo inspetor.
